term,gene
AGE-RAGE signaling pathway in diabetic complications,RELA
AGE-RAGE signaling pathway in diabetic complications,CCL2
AGE-RAGE signaling pathway in diabetic complications,IL6
AGE-RAGE signaling pathway in diabetic complications,MMP2
AGE-RAGE signaling pathway in diabetic complications,EGR1
AGE-RAGE signaling pathway in diabetic complications,AKT2
AGE-RAGE signaling pathway in diabetic complications,MAPK14
AGE-RAGE signaling pathway in diabetic complications,F3
AGE-RAGE signaling pathway in diabetic complications,NFKB1
AGE-RAGE signaling pathway in diabetic complications,PIK3CD
AGE-RAGE signaling pathway in diabetic complications,IL1A
AGE-RAGE signaling pathway in diabetic complications,HRAS
AGE-RAGE signaling pathway in diabetic complications,COL4A2
AGE-RAGE signaling pathway in diabetic complications,BAX
AGE-RAGE signaling pathway in diabetic complications,AGTR1
AGE-RAGE signaling pathway in diabetic complications,PIK3R2
AGE-RAGE signaling pathway in diabetic complications,VEGFA
AGE-RAGE signaling pathway in diabetic complications,TGFBR1
AGE-RAGE signaling pathway in diabetic complications,COL3A1
AGE-RAGE signaling pathway in diabetic complications,PLCD3
AGE-RAGE signaling pathway in diabetic complications,CASP3
AGE-RAGE signaling pathway in diabetic complications,CCND1
AMPK signaling pathway,LEPR
AMPK signaling pathway,PPP2CA
AMPK signaling pathway,CCNA1
AMPK signaling pathway,RAB11B
AMPK signaling pathway,PPP2R2A
AMPK signaling pathway,PFKM
AMPK signaling pathway,PPP2R3A
AMPK signaling pathway,PRKAG1
AMPK signaling pathway,IGF1R
AMPK signaling pathway,HNF4A
AMPK signaling pathway,SLC2A4
AMPK signaling pathway,CREB3L2
AMPK signaling pathway,CCNA2
AMPK signaling pathway,CPT1A
AMPK signaling pathway,PFKL
AMPK signaling pathway,IRS1
AMPK signaling pathway,RHEB
AMPK signaling pathway,CCND1
AMPK signaling pathway,RAB14
AMPK signaling pathway,FASN
AMPK signaling pathway,IGF1
AMPK signaling pathway,AKT1S1
AMPK signaling pathway,RAB2A
AMPK signaling pathway,CAB39L
AMPK signaling pathway,IRS4
AMPK signaling pathway,STK11
AMPK signaling pathway,G6PC3
AMPK signaling pathway,PPP2R5A
AMPK signaling pathway,PRKAA2
